object_type,schema,object_name,signature_or_table,production_exists,notes
table,public,couranr_delivery_proofs,,yes,relrowsecurity=t
table,public,couranr_delivery_request_events,,yes,relrowsecurity=t
table,public,couranr_delivery_requests,,yes,relrowsecurity=t
table,public,couranr_dispatch_vehicles,,yes,relrowsecurity=t
table,public,couranr_drivers,,yes,relrowsecurity=t
table,public,couranr_handoff_codes,,yes,relrowsecurity=t
table,public,couranr_handoff_records,,yes,relrowsecurity=t
table,public,couranr_help_access_tokens,,yes,relrowsecurity=t
table,public,couranr_merchant_preset_versions,,yes,relrowsecurity=t
table,public,couranr_merchant_presets,,yes,relrowsecurity=t
table,public,couranr_merchant_workspaces,,yes,relrowsecurity=t
table,public,couranr_payment_access_tokens,,yes,relrowsecurity=t
table,public,couranr_payment_events,,yes,relrowsecurity=t
table,public,couranr_payment_obligations,,yes,relrowsecurity=t
table,public,couranr_pickup_discrepancies,,yes,relrowsecurity=t
table,public,couranr_proof_uploads,,yes,relrowsecurity=t
table,public,couranr_service_plans,,yes,relrowsecurity=t
table,public,couranr_team_events,,yes,relrowsecurity=t
table,public,couranr_website_tool_configs,,yes,relrowsecurity=t
table,public,couranr_workspace_activations,,yes,relrowsecurity=t
trigger,public,couranr_cv_kind_immutable_trg,couranr_conversations,yes,
trigger,public,couranr_cvm_enforce_visibility_trg,couranr_conversation_messages,yes,
trigger,public,couranr_cvp_enforce_kind_trg,couranr_conversation_participants,yes,
trigger,public,couranr_cvp_tenure_monotone_trg,couranr_conversation_participants,yes,
